season,id,name,short_name,home_team,away_team,home_captain,away_captain,venue_name,home_team_name,away_team_name
2016,980903,Kolkata Knight Riders v Delhi Daredevils,KKR v DC,KKR,DC,Gautam Gambhir,Zaheer Khan,"Eden Gardens, Kolkata",Kolkata Knight Riders , Delhi Darede
2016,980905,Kings XI Punjab v Gujarat Lions,KXIP v GL,KXIP,GL,David Miller,Suresh Raina,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kings XI Punjab , Gujarat Lions
2016,980907,Royal Challengers Bangalore v Sunrisers Hyderabad,RCB v SRH,RCB,SRH,Virat Kohli,David Warner,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore , Sunrisers Hyderabad
2016,980909,Kolkata Knight Riders v Mumbai Indians,KKR v MI,KKR,MI,Gautam Gambhir,Rohit Sharma,"Eden Gardens, Kolkata",Kolkata Knight Riders , Mumbai Indians
2016,980911,Gujarat Lions v Rising Pune Supergiants,GL v RPS,GL,RPS,Suresh Raina,MS Dhoni,"Saurashtra Cricket Association Stadium, Rajkot",Gujarat Lions , Rising Pune Supergiants
2016,980913,Delhi Daredevils v Kings XI Punjab,DC v KXIP,DC,KXIP,Zaheer Khan,David Miller,"Arun Jaitley Stadium, Delhi",Delhi Darede,ils 
2016,980915,Sunrisers Hyderabad v Kolkata Knight Riders,SRH v KKR,SRH,KKR,David Warner,Gautam Gambhir,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad , Kolkata Knight Riders
2016,980917,Mumbai Indians v Gujarat Lions,MI v GL,MI,GL,Rohit Sharma,Suresh Raina,"Wankhede Stadium, Mumbai",Mumbai Indians , Gujarat Lions
2016,980919,Kings XI Punjab v Rising Pune Supergiants,KXIP v RPS,KXIP,RPS,David Miller,MS Dhoni,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kings XI Punjab , Rising Pune Supergiants
2016,980921,Royal Challengers Bangalore v Delhi Daredevils,RCB v DC,RCB,DC,Virat Kohli,Zaheer Khan,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore , Delhi Darede
2016,980923,Sunrisers Hyderabad v Mumbai Indians,SRH v MI,SRH,MI,David Warner,Rohit Sharma,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad , Mumbai Indians
2016,980925,Kings XI Punjab v Kolkata Knight Riders,KXIP v KKR,KXIP,KKR,David Miller,Gautam Gambhir,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kings XI Punjab , Kolkata Knight Riders
2016,980927,Mumbai Indians v Royal Challengers Bangalore,MI v RCB,MI,RCB,Rohit Sharma,Virat Kohli,"Wankhede Stadium, Mumbai",Mumbai Indians , Royal Challengers Bangalore
2016,980929,Gujarat Lions v Sunrisers Hyderabad,GL v SRH,GL,SRH,Suresh Raina,David Warner,"Saurashtra Cricket Association Stadium, Rajkot",Gujarat Lions , Sunrisers Hyderabad
2016,980931,Rising Pune Supergiants v Royal Challengers Bangalore,RPS v RCB,RPS,RCB,MS Dhoni,Virat Kohli,"Maharashtra Cricket Association Stadium, Pune",Rising Pune Supergiants , Royal Challengers Bangalore
2016,980933,Delhi Daredevils v Mumbai Indians,DC v MI,DC,MI,Zaheer Khan,Rohit Sharma,"Arun Jaitley Stadium, Delhi",Delhi Darede,ils 
2016,980935,Sunrisers Hyderabad v Kings XI Punjab,SRH v KXIP,SRH,KXIP,David Warner,David Miller,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad , Kings XI Punjab
2016,980937,Gujarat Lions v Royal Challengers Bangalore,GL v RCB,GL,RCB,Suresh Raina,Virat Kohli,"Saurashtra Cricket Association Stadium, Rajkot",Gujarat Lions , Royal Challengers Bangalore
2016,980939,Rising Pune Supergiants v Kolkata Knight Riders,RPS v KKR,RPS,KKR,MS Dhoni,Gautam Gambhir,"Maharashtra Cricket Association Stadium, Pune",Rising Pune Supergiants , Kolkata Knight Riders
2016,980941,Kings XI Punjab v Mumbai Indians,KXIP v MI,KXIP,MI,David Miller,Rohit Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kings XI Punjab , Mumbai Indians
2016,980943,Sunrisers Hyderabad v Rising Pune Supergiants,SRH v RPS,SRH,RPS,David Warner,MS Dhoni,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad , Rising Pune Supergiants
2016,980945,Delhi Daredevils v Gujarat Lions,DC v GL,DC,GL,Zaheer Khan,Suresh Raina,"Arun Jaitley Stadium, Delhi",Delhi Darede,ils 
2016,980947,Mumbai Indians v Kolkata Knight Riders,MI v KKR,MI,KKR,Rohit Sharma,Gautam Gambhir,"Wankhede Stadium, Mumbai",Mumbai Indians , Kolkata Knight Riders
2016,980949,Rising Pune Supergiants v Gujarat Lions,RPS v GL,RPS,GL,MS Dhoni,Suresh Raina,"Maharashtra Cricket Association Stadium, Pune",Rising Pune Supergiants , Gujarat Lions
2016,980951,Delhi Daredevils v Kolkata Knight Riders,DC v KKR,DC,KKR,Zaheer Khan,Gautam Gambhir,"Arun Jaitley Stadium, Delhi",Delhi Darede,ils 
2016,980953,Sunrisers Hyderabad v Royal Challengers Bangalore,SRH v RCB,SRH,RCB,David Warner,Virat Kohli,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad , Royal Challengers Bangalore
2016,980955,Gujarat Lions v Kings XI Punjab,GL v KXIP,GL,KXIP,Suresh Raina,Murali Vijay,"Saurashtra Cricket Association Stadium, Rajkot",Gujarat Lions , Kings XI Punjab
2016,980957,Rising Pune Supergiants v Mumbai Indians,RPS v MI,RPS,MI,MS Dhoni,Rohit Sharma,"Maharashtra Cricket Association Stadium, Pune",Rising Pune Supergiants , Mumbai Indians
2016,980959,Royal Challengers Bangalore v Kolkata Knight Riders,RCB v KKR,RCB,KKR,Virat Kohli,Gautam Gambhir,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore , Kolkata Knight Riders
2016,980961,Gujarat Lions v Delhi Daredevils,GL v DC,GL,DC,Suresh Raina,Zaheer Khan,"Saurashtra Cricket Association Stadium, Rajkot",Gujarat Lions , Delhi Darede
2016,980963,Kolkata Knight Riders v Kings XI Punjab,KKR v KXIP,KKR,KXIP,Gautam Gambhir,Murali Vijay,"Eden Gardens, Kolkata",Kolkata Knight Riders , Kings XI Punjab
2016,980965,Delhi Daredevils v Rising Pune Supergiants,DC v RPS,DC,RPS,Jean-Paul Duminy,MS Dhoni,"Arun Jaitley Stadium, Delhi",Delhi Darede,ils 
2016,980967,Sunrisers Hyderabad v Gujarat Lions,SRH v GL,SRH,GL,David Warner,Suresh Raina,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad , Gujarat Lions
2016,980969,Royal Challengers Bangalore v Rising Pune Supergiants,RCB v RPS,RCB,RPS,Virat Kohli,MS Dhoni,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore , Rising Pune Supergiants
2016,980971,Kings XI Punjab v Delhi Daredevils,KXIP v DC,KXIP,DC,Murali Vijay,Zaheer Khan,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kings XI Punjab , Delhi Darede
2016,980973,Mumbai Indians v Sunrisers Hyderabad,MI v SRH,MI,SRH,Rohit Sharma,David Warner,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Mumbai Indians , Sunrisers Hyderabad
2016,980975,Kolkata Knight Riders v Gujarat Lions,KKR v GL,KKR,GL,Gautam Gambhir,Suresh Raina,"Eden Gardens, Kolkata",Kolkata Knight Riders , Gujarat Lions
2016,980977,Kings XI Punjab v Royal Challengers Bangalore,KXIP v RCB,KXIP,RCB,Murali Vijay,Virat Kohli,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kings XI Punjab , Royal Challengers Bangalore
2016,980979,Rising Pune Supergiants v Sunrisers Hyderabad,RPS v SRH,RPS,SRH,MS Dhoni,David Warner,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Rising Pune Supergiants , Sunrisers Hyderabad
2016,980981,Royal Challengers Bangalore v Mumbai Indians,RCB v MI,RCB,MI,Virat Kohli,Rohit Sharma,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore , Mumbai Indians
2016,980983,Sunrisers Hyderabad v Delhi Daredevils,SRH v DC,SRH,DC,David Warner,Jean-Paul Duminy,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad , Delhi Darede
2016,980985,Mumbai Indians v Kings XI Punjab,MI v KXIP,MI,KXIP,Rohit Sharma,Murali Vijay,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Mumbai Indians , Kings XI Punjab
2016,980987,Royal Challengers Bangalore v Gujarat Lions,RCB v GL,RCB,GL,Virat Kohli,Brendon McCullum,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore , Gujarat Lions
